internal_sku,squarespace_product,squarespace_variant,squarespace_sku,quickbooks_item,tannage,color,weight,product_type,needs_qb_item,needs_review
HOR-DUB-BLK-45,Horween • Dublin,Black - 4-5 oz (1.6 – 2 mm),SQ1312341,*Black Dublin 4-4.5 oz,Dublin,Black,4-5,full_hide,,
WAL-BUT-BUR-335,Conceria Walpier • Buttero,No Resin - #5 Burgundy - 3-3.5 oz (1.2-1.4 mm),SQ0827612,Buttero #5 Burgundy (Res) 3-3.5,Buttero,Burgundy,3-3.5,full_hide,,
WAL-BUT-COG-335,Conceria Walpier • Buttero,Resin - #23 Cognac - 3-3.5 oz (1.2-1.4 mm),SQ1118573,Buttero #23 Cognac (Res) 3-3.5,Buttero,Cognac,3-3.5,full_hide,,
WAL-BUT-BLK-335,Conceria Walpier • Buttero,Resin - Black - 3-3.5 oz (1.2-1.4 mm),SQ3354503,Buttero #100 Black (Res) 3-3.5,Buttero,Black,3-3.5,full_hide,,
HOR-PNL-DUB-NAT-34,Horween Dublin Leather Panels,2’ Panel (12”x24”) - Natural - 3-4 oz (1.2-1.6 mm),SQ4292153,Panel Dublin Natural 3.5-4 oz,Dublin,Natural,3-4,panel,,
HOR-PNL-DRB-OLD-34,Horween Derby Leather Panels,2’ Panel (12”x24”) - Olde English - 3-4 oz (1.2-1.6 mm),SQ1316385,Panel Derby Olde Eng 3.5-4 oz,Derby,Olde English,3-4,panel,,
VIR-VAC-45,Virgilio • Vachetta Box,Fuxia - 4-5 oz (1.6-2 mm),SQ7493596,Vachetta Alloro 4.5-5 oz,Vachetta,,4-5,full_hide,,
HOR-DUB-NUT-89,Horween • Dublin,Brown Nut - 8-9 oz (3.2 –  3.6 mm),SQ4161732,Dublin Brown Nut 8-9 oz,Dublin,Brown Nut,8-9,full_hide,,
HOR-DUB-NUT-45,Horween • Dublin,Brown Nut - 4-5 oz (1.6 – 2 mm),SQ7340045,*Nut Brown Dublin 4-4.5z,Dublin,Brown Nut,4-5,full_hide,,
CFS-KUD-DEE-4555,C.F. Stead • Kudu Waxy,Deep Forest 4.5-5.5 oz // ~11.5 SF,SQ3281754,Kudu Waxy Deep Forest,Kudu Waxy,Deep Forest,4.5-5.5,full_hide,,
HOR,Horween • Surprise Side,,SQ0156437,MISCELLANOUS LEATHER,,,,full_hide,Y,
VIR-SMP-MAR,Virgilio Swatch Books,Margot,SQ5966982,Sample Book - Margot,Margot,,,sample_book,,
VIR-MAR-SIE-34,Virgilio • Margot,Siena - 3-4 oz (1.2-1.6 mm),SQ9632493,Margot Fog Siena 3-3.5 oz,Margot,Siena,3-4,full_hide,,
HOR-STR-RUS-79,Horween • Russet Horsehide Strips Stained Bundles,Hard Rolled Strips - Narrows - 7-9oz,SQ8358083,Russet Strips HR 7-9 oz,Russet Horsehide,,7-9,strips,,
HOR-STR-RUS-79,Horween • Russet Horsehide Strips Stained Bundles,Hard Rolled Strips - Regular - 7-9oz,SQ7572557,Russet Strips HR 7-9 oz,Russet Horsehide,,7-9,strips,,
HOR-STR-CHX-BLK,Horween • Chromexcel® Strips,Black,SQ1044244,*Horsebutt Strips Black Chrxl,Chromexcel,Black,,strips,,
TEM-BAK-FIE-455,Tempesti • Baku,Fieno - 1.8 - 2.0 (4.5-5 oz),SQ5812647,Baku Fieno 4.5-5 oz (1.8-2 mm),Baku,Fieno,4.5-5,full_hide,,
HOR-STR-RUS-9+,Horween • Russet Horsehide Strips Stained Bundles,Soft Rolled Strips - Regular - 9+ oz,SQ4551754,Russet Strips SR 9 oz and up,Russet Horsehide,,9+,strips,,
WAL-BUT-BRN-555,Conceria Walpier • Buttero,No Resin - #7 Brown - 5-5.5 oz (2-2.2 mm),SQ0255734,Buttero #2 Brown (Resin) 5-5.5,Buttero,Brown,5-5.5,full_hide,,
HOR-DUB-GRN-56,Horween • Dublin,Greener Pastures - 5-6 oz (2.0 –  2.4 mm),SQ1939510,Dublin Greener Pastures 5-6 oz,Dublin,Greener Pastures,5-6,full_hide,,
HOR-ESX-ENG-45,Horween • Essex,English Tan - 4-5 oz (1.6 – 2 mm),SQ1112874,*English Tan Essex 4.5-5z,Essex,English Tan,4-5,full_hide,,
HOR-DUB-LIG-45,Horween • Dublin,Light Natural - 4-5 oz (1.6 – 2 mm),SQ1990343,Dublin Light Natural 3.5-4  oz,Dublin,Light Natural,4-5,full_hide,,
WAL-ACC-ROC-BLK-89,"Conceria Walpier • Rocky, Belt Weight (8-9 oz)",Black,SQ1194568,Commission,Rocky,Black,8-9,accessory,,
HOR-CYP-BLK-34,Horween • Cypress,Black - 3-4 oz (1.2-1.6 mm),SQ1443518,Cypress Black 3.5-4oz,Cypress,Black,3-4,full_hide,,
HOR-CYP-ENG-34,Horween • Cypress,English Tan - 3-4 oz (1.2-1.6 mm),SQ3788491,Cypress English Tan 3.5-4 oz,Cypress,English Tan,3-4,full_hide,,
HOR-DRB-NUT-45,Horween • Derby,Brown Nut - 4-5 oz (1.6 – 2 mm),SQ5308452,Derby Brown Nut 3.5-4 oz,Derby,Brown Nut,4-5,full_hide,,
HOR-DRB-ENG-45,Horween • Derby,English Tan - 4-5 oz (1.6 – 2 mm),SQ5110673,Derby English Tan 3.5-4 oz,Derby,English Tan,4-5,full_hide,,
CFS-CRA-COA,C.F. Stead • Crazy Cow,Coach,SQ2045735,MISCELLANOUS LEATHER,Crazy Cow,Coach,,full_hide,Y,
HOR-CHX-BUR-89,Horween • Chromexcel®,Burgundy - 8-9 oz (3.2 –  3.6 mm),SQ3308713,Chrxl #5872 Burgundy 8-9 oz,Chromexcel,Burgundy,8-9,full_hide,,
ACC-CHA,Saphir • Cotton Chamois Cloth,,SQ7061685,Saphir Cloth,Chamois,,,accessory,,
ACC,Saphir • Renovateur,,SQ1241880,Saphir Renovateur,,,,accessory,,
ACC-BLK,Saphir • Oiled Leather Cream,Black,SQ5434528,Saphir Oiled Cream,,Black,,accessory,,
HOR-DRB-NUT-56,Horween • Derby,Brown Nut - 5-6 oz (2.0 –  2.4 mm),SQ8176353,Derby Brown Nut 5-6 oz,Derby,Brown Nut,5-6,full_hide,,
HOR-DRB-BLK-56,Horween • Derby,Black - 5-6 oz (2.0 –  2.4 mm),SQ0629020,Derby Black 5-6 oz,Derby,Black,5-6,full_hide,,
HOR-CHX-BLK-56,Horween • Waxed Flesh Chromexcel®,Black - 5-6 oz,SQ3813828,*Black Beaufort Chrxl 5.5-6z,Chromexcel,Black,5-6,full_hide,,
HOR-DRB-NUT-34,Horween • Derby,Brown Nut - 3-4 oz (1.2-1.6 mm),SQ5212646,Derby Brown Nut 3-3.5 oz,Derby,Brown Nut,3-4,full_hide,,
HOR-GLO-TAN,Horween • Horween X Baseball Glove,Tan,SQ2131809,Glovey Tan Calf Lining,Glove,Tan,,full_hide,,
ACC,Intercom Ecostick 5020 • Water-Based Leather Glue,250 ml (8.5 fl oz),SQ2820737,Ecostick 5020,,,,accessory,,
HOR-DRB-ENG-56,Horween • Derby,English Tan - 5-6 oz (2.0 –  2.4 mm),SQ4286042,Derby English Tan 5-6 oz,Derby,English Tan,5-6,full_hide,,
ACC,The Leather Conditioner,,SQ9053113,TR Leather Conditioner,,,,accessory,,
VIR-VAC-COB-45,Virgilio • Vachetta,Cobalto - 4-5 oz (1.6-2 mm),SQ1674516,Vachetta Box Cobalto 3.5-4 oz,Vachetta,Cobalto,4-5,full_hide,,
VIR-VAC-NAT-45,Virgilio • Vachetta,Natural - 4-5 oz (1.6-2 mm),SQ6384456,Vachetta Box Natural 3.5-4 oz,Vachetta,Natural,4-5,full_hide,,
HOR-CHX-BUR-45,Horween • Chromexcel®,Burgundy - 4-5 oz (1.6 – 2 mm),SQ8161643,*#5872 Burgundy Chrxl 4-4.5z,Chromexcel,Burgundy,4-5,full_hide,,
TEM-MAI-455,Tempesti • Maine Eco Lux,Avocado - 1.8 - 2.0 (4.5-5 oz),SQ5979226,Maine Eco Lux Avocado 4.5-5 oz,Maine,,4.5-5,full_hide,,
HOR-PNL-DUB-BLK-34,Horween Dublin Leather Panels,2’ Panel (12”x24”) - Black - 3-4 oz (1.2-1.6 mm),SQ1294026,Panel Dublin Black 3.5-4 oz,Dublin,Black,3-4,panel,,
ACC,30mm Black Cordovan Belt,Size 34 - Increase pant size by 2 for belt size - Silver,SQ0250517,Commission,,,,accessory,,
WAL-BUT-335,Conceria Walpier • Buttero,Resin - #16 Yellow - 3-3.5 oz (1.2-1.4 mm),SQ1045620,Buttero #100 Black (Res) 3-3.5,Buttero,,3-3.5,full_hide,,
HOR-DUB-GRN-34,Horween • Dublin,Greener Pastures - 3-4 oz (1.2-1.6 mm),SQ9590202,Dublin Greener Pastures 3.5-4,Dublin,Greener Pastures,3-4,full_hide,,
HOR-DUB-NUT-34,Horween • Dublin,Brown Nut - 3-4 oz (1.2-1.6 mm),SQ7251555,Dublin Brown Nut 3.5-4 oz,Dublin,Brown Nut,3-4,full_hide,,
HOR-DUB-GOL-34,Horween • Dublin,Golf Green - 3-4 oz (1.2-1.6 mm),SQ0368705,Rockford Dublin Golf Green 5-6,Dublin,Golf Green,3-4,full_hide,,Y
WAL-BUT-335,Conceria Walpier • Buttero,Resin - #102 Blue - 3-3.5 oz (1.2-1.4 mm),SQ0444630,Buttero #100 Black (Res) 3-3.5,Buttero,,3-3.5,full_hide,,
SMP-NUB,TR Collection Swatch Books,Italian Nubuck,SQ0273490,Sample Book - Italian Nubuck,Nubuck,,,sample_book,,
ITA-SMP,TR Collection Swatch Books,Nappa Lamb,SQ4560735,"Sample Book - Kid, Lamb, Goat",,,,sample_book,,
SMP-SOF,TR Collection Swatch Books,Italian Softee,SQ4836054,Sample Book - Italian Softee,Softee,,,sample_book,,
SMP,TR Collection Swatch Books,Calf Lining,SQ5899115,Sample Book - Calf Lining,,,,sample_book,,
SMP-CRO,TR Collection Swatch Books,Crocco Veg,SQ2671374,Sample Book - Crocco Veg,Crocco,,,sample_book,,
CFS-WAX-TEA-4555,C.F. Stead • Waxy Mohawk,Teak: 4.5-5.5 oz (1.8-2.2 mm),SQ7739113,Waxy Mohawk Teak Smooth,Waxy Mohawk,Teak,4.5-5.5,full_hide,,
HOR-DUB-OLD-45,Horween • Dublin,Olde English - 4-5 oz (1.6 – 2 mm),SQ2487828,Dublin Olde English 3.5-4 oz,Dublin,Olde English,4-5,full_hide,,
HOR-CYP-ENG-56,Horween • Cypress,English Tan - 5-6 oz (2.0-2.4 mm),SQ9369354,Cypress English Tan 5-6 oz,Cypress,English Tan,5-6,full_hide,,
WAL-BUT-BLK-657,Conceria Walpier • Buttero,Resin - Black - 6.5-7 oz (2.6-2.8 mm),SQ0416321,Buttero #100 Black (Res) 6.5-7,Buttero,Black,6.5-7,full_hide,,
WAL-BUT-BRN-657,Conceria Walpier • Buttero,Resin - #7 Brown - 6.5-7 oz (2.6-2.8 mm),SQ4234447,Buttero #2 Brown (Resin) 6.5-7,Buttero,Brown,6.5-7,full_hide,,
SPL-CLA-BRN-455,Splenda • Classic,Brown - 4.5-5 oz (1.8-2 mm),SQ1650969,Splenda Classic Brown 4.5-5 oz,Classic,Brown,4.5-5,full_hide,,
SPL-CLA-BLK-455,Splenda • Classic,Black - 4.5-5 oz (1.8-2 mm),SQ5350632,Splenda Classic Black 4.5-5 oz,Classic,Black,4.5-5,full_hide,,
HOR-DUB-NAT-45,Horween • Dublin,Natural - 4-5 oz (1.6 – 2 mm),SQ4133664,*Natural Dublin 4-4.5 oz,Dublin,Natural,4-5,full_hide,,
ACC,30mm Color 8 Cordovan Belt,Size 38 - Increase Pant Size by 2 for Belt Size - Brass,SQ0069045,Commission,,,,accessory,,
ACC,30mm Color 8 Cordovan Belt,Size 38 - Increase Pant Size by 2 for Belt Size - Silver,SQ4187002,Commission,,,,accessory,,
UNKNOWN,Leather Scrap Box,2 Boxes (10lbs),SQ8344321,Scrap Leather,,,,scrap,,
HOR-STR-RUS-9+,Horween • Russet Horsehide Strips,Soft Rolled Strips - 9+ oz,SQ3405217,Russet Strips SR 9 oz and up,Russet Horsehide,,9+,strips,,
CFS-SMP-WAX,C.F. Stead  Swatch Books,Waxy Commander,SQ7794058,Sample Book - All Stead,Waxy Commander,,,sample_book,,
CFS-SMP-WAX,C.F. Stead  Swatch Books,Waxy Mohawk,SQ1280212,Sample Book - All Stead,Waxy Mohawk,,,sample_book,,
ACC,35mm Color 8 Cordovan Belt,Size 34,SQ0188773,Commission,,,,accessory,,
ACC-NAT,Tulliani Belts • Wacker Drive,36 - Natural Chomexcel,SQ1466867,Commission,,Natural,,accessory,,
CFS-SMP-RAM,C.F. Stead  Swatch Books,Rambler,SQ8878257,Sample Book - All Stead,Rambler,,,sample_book,,
ACC,"Tokonole • Leather Burnishing Gum, Clear",500 g,SQ9899880,Tokonole Clear 500g,,,,accessory,,
HOR-STR-RUS-79,Horween • Russet Horsehide Strips,Hard Rolled Strips - 7-9 oz,SQ0000842,Russet Strips HR 7-9 oz,Russet Horsehide,,7-9,strips,,
HOR-PNL-DRB-LIG-56,Horween Derby Leather Panels,1’ Panel (12”x12”) - Light Natural - 5-6 oz (2-2.4 mm),SQ0965249,Panel Derby Lt Nat 5-6 oz,Derby,Light Natural,5-6,panel,,
HOR-PNL-DUB-NUT-34,Horween Dublin Leather Panels,1’ Panel (12”x12”) - Brown Nut - 3-4 oz (1.2-1.6 mm),SQ5555602,Panel Dublin Brown Nut 3.5-4 oz,Dublin,Brown Nut,3-4,panel,,
HOR-DRB-OLD-45,Horween • Derby,Olde English - 4-5 oz (1.6 – 2 mm),SQ4417005,Derby Olde English 3.5-4 oz,Derby,Olde English,4-5,full_hide,,
HOR-PNL-CHX-BLK-34,Horween Chromexcel® Leather Panels,"2' Panel (12""x24"") - Black - 3-4 oz (1.2-1.6 mm)",SQ7769354,Panel Chrxl Black 3.5-4 oz,Chromexcel,Black,3-4,panel,,
HOR-MON-56,Horween • Montana,Chocolate - 5-6 oz (2.0 –  2.4 mm),SQ5808750,Bison Montana Black 5-6 oz,Montana,,5-6,full_hide,,
HOR-DRB-NAT-45,Horween • Derby,Natural - 4-5 oz (1.6 – 2 mm),SQ5268859,Derby Natural 3.5-4 oz,Derby,Natural,4-5,full_hide,,
HOR-STR-CHX-TAN,Horween • Chromexcel® Strips,Tan,SQ7960339,*Horsebutt Strips Chrxl Tan,Chromexcel,Tan,,strips,,
WAL-BUT-657,Conceria Walpier • Buttero,No Resin - Foresta - 6.5-7 oz (2.6-2.8 mm),SQ8636126,Buttero #100 Black (Res) 6.5-7,Buttero,,6.5-7,full_hide,,
CFS-DOE-BLK,C.F. Stead • Doeskin,Black,SQ9462736,Doeskin Black,Doeskin,Black,,full_hide,,
WAL-BUT-NAT-657,Conceria Walpier • Buttero,Resin - Natural - 6.5-7 oz (2.6-2.8 mm),SQ5684668,Buttero Natural (Resin) 6.5-7,Buttero,Natural,6.5-7,full_hide,,
WAL-BUT-GRE-335,Conceria Walpier • Buttero,No Resin - #11 Green - 3-3.5 oz (1.2-1.4 mm),SQ7410747,Buttero #11 Green (Resin) 3-3.5,Buttero,Green,3-3.5,full_hide,,
HOR-PNL-DUB-LIG-34,Horween Dublin Leather Panels,2’ Panel (12”x24”) - Light Natural - 3-4 oz (1.2-1.6 mm),SQ7453146,Panel Dublin Lt Nat 3.5-4 oz,Dublin,Light Natural,3-4,panel,,
HOR-DUB-BLK-34,Horween • Dublin,Black - 3-4 oz (1.2-1.6 mm),SQ3322776,Dublin Black 3.5-4 oz,Dublin,Black,3-4,full_hide,,
HOR-DUB-NAT-56,Horween • Dublin,Natural - 5-6 oz (2.0 –  2.4 mm),SQ6310333,*Natural Dublin 5.5-6z,Dublin,Natural,5-6,full_hide,,
HOR-DUB-NUT,"Coronado • Clark Backpack, Horween Brown Nut Dublin",,SQ2556404,*Brown Nut Dublin 6-7 oz,Dublin,Brown Nut,,full_hide,,
HOR-CYP-34,Horween • Cypress,Dark Sand - 3-4 oz (1.2-1.6 mm),SQ5698785,Cypress Black 3.5-4oz,Cypress,,3-4,full_hide,,
HOR-DUB-ENG-45,Horween • Dublin,English Tan - 4-5 oz (1.6 – 2 mm),SQ6527288,*English Tan Dublin 4.5-5z,Dublin,English Tan,4-5,full_hide,,
HOR-CYP-34,Horween • Cypress,Persian Red - 3-4 oz (1.2-1.6 mm),SQ2906540,Cypress Black 3.5-4oz,Cypress,,3-4,full_hide,,
HOR-DUB-ENG-34,Horween • Dublin,English Tan - 3-4 oz (1.2-1.6 mm),SQ1028157,Dublin Dark English Tan 4-5 oz,Dublin,English Tan,3-4,full_hide,,
HOR-PNL-CHX-BUR-56,Horween Chromexcel® Leather Panels,"1' Panel (12""x12"") - Burgundy - 5-6 oz (2-2.4 mm)",SQ0766922,Panel Chrxl Burgundy 5-6 oz,Chromexcel,Burgundy,5-6,panel,,
HOR-PNL-CHX-BUR-34,Horween Chromexcel® Leather Panels,"1' Panel (12""x12"") - Burgundy - 3-4 oz (1.2-1.6 mm)",SQ4631709,Panel Chrxl Burgundy 3.5-4 oz,Chromexcel,Burgundy,3-4,panel,,
HOR-SMP-GLO,Horween Swatch Books,Glove,SQ0776396,Sample Book - All Horween,Glove,,,sample_book,,
HOR-GLO-BLK,Horween • Horween X Baseball Glove,Black,SQ7885793,Baseball Glove Black 5 oz,Glove,Black,,full_hide,,
HOR-CHX-NAT-56,Horween • Chromexcel®,Natural - 5-6 oz (2.0 –  2.4 mm),SQ5363467,*Natural Aniline Chrxl 4.5-5oz,Chromexcel,Natural,5-6,full_hide,,
HOR-ESX-NUT-34,Horween • Essex,Brown Nut - 3-4 oz (1.2-1.6 mm),SQ4954223,Essex Brown Nut 3.5-4 oz,Essex,Brown Nut,3-4,full_hide,,
WAL-BUT-BRN-335,Conceria Walpier • Buttero,No Resin - #7 Brown - 3-3.5 oz (1.2-1.4 mm),SQ4301334,Buttero #2 Brown (Resin) 3-3.5,Buttero,Brown,3-3.5,full_hide,,
WAL-BUT-BLK-555,Conceria Walpier • Buttero,Resin - Black - 5-5.5 oz (2-2.2 mm),SQ4641860,Buttero #100 Black (Res) 5-5.5,Buttero,Black,5-5.5,full_hide,,
VIR-SMO-NAT-34,Virgilio • Smoked Matte,Natural - 3-4 oz (1.2-1.6 mm),SQ0784541,Smoked Matte Natural 3-3.5 oz,Smoked Matte,Natural,3-4,full_hide,,
HOR-GLO-BLK,Horween • Featherlite Baseball Glove,Black,SQ8694160,Baseball Glove Black 5 oz,Glove,Black,,full_hide,,
TUS-SOK-NAV,Tusting & Burnett • Sokoto Bookbinding,Midnight Navy,SQ1044503,T & B Sokoto Book Navy 2 oz,Sokoto,Navy,,bookbinding,,
CFS-KUD-CAR-4555,C.F. Stead • Kudu Classic,Caramel: 4.5-5.5 oz // ~11 SF,SQ8916344,Kudu Classic Caramel,Kudu Classic,Caramel,4.5-5.5,full_hide,,
HOR-HF-ASP-NAT-2535,Horween • Aspen Double Horsefronts,Natural - 2.5-3.5 oz (1.0-1.4 mm),SQ9613576,DHF Aspen Natural,Aspen,Natural,2.5-3.5,horsefront,,
HOR-DRB-COB-34,Horween • Derby,Cobalt Blue - 3-4 oz (1.2-1.6 mm),SQ7677205,Derby Cobalt Blue 3.5-4 oz,Derby,Cobalt Blue,3-4,full_hide,,
HOR-PNL-CHX-NAT-34,Horween Chromexcel® Leather Panels,"1' Panel (12""x12"") - Natural - 3-4 oz (1.2-1.6 mm)",SQ8623584,Panel Chrxl Natural 3.5-4 oz,Chromexcel,Natural,3-4,panel,,
HOR-PNL-DRB-NAT-34,Horween Derby Leather Panels,1’ Panel (12”x12”) - Natural - 3-4 oz (1.2-1.6 mm),SQ2047506,Panel Derby Natural 3.5-4 oz,Derby,Natural,3-4,panel,,
HOR-PNL-DUB-NAT-34,Horween Dublin Leather Panels,1’ Panel (12”x12”) - Natural - 3-4 oz (1.2-1.6 mm),SQ1967451,Panel Dublin Natural 3.5-4 oz,Dublin,Natural,3-4,panel,,
HOR-CHX-NAV-56,Horween • Chromexcel®,Navy - 5-6 oz (2.0 –  2.4 mm),SQ4581370,*Navy Chrxl 5.5-6 oz,Chromexcel,Navy,5-6,full_hide,,
HOR-SMP,Horween Swatch Books,Football & Basketball,SQ4146620,Sample Book - All Horween,,,,sample_book,,
WAL-BUT-BRN-555,Conceria Walpier • Buttero,Resin - #7 Brown - 5-5.5 oz (2-2.2 mm),SQ0245247,Buttero #2 Brown (Resin) 5-5.5,Buttero,Brown,5-5.5,full_hide,,
HOR-PNL-CHX-BRN-34,Horween Chromexcel® Leather Panels,"1' Panel (12""x12"") - Brown - 3-4 oz (1.2-1.6 mm)",SQ2245002,Panel Chrxl Brown 3.5-4 oz,Chromexcel,Brown,3-4,panel,,
HOR-DEA-FUN-56,Horween • Dearborn,Fun Blue - 5-6 oz (2.0-2.4 mm),SQ5118041,Dearborn Fun Blue 5-6 oz,Dearborn,Fun Blue,5-6,full_hide,,
HOR-CHX-NAT-89,Horween • Chromexcel®,Natural - 8-9 oz (3.2 –  3.6 mm),SQ4147851,Beaufort Chrxl Natural 9-10 oz,Chromexcel,Natural,8-9,full_hide,,
HOR-DRB-RUS-45,Horween • Derby,Russet Brown - 4-5 oz (1.6 – 2 mm),SQ8109139,Derby Russet Brown 3.5-4 oz,Derby,Russet Brown,4-5,full_hide,,
HOR-CHX-NAT-34,Horween • Chromexcel®,Natural - 3-4 oz (1.2-1.6 mm),SQ4284179,*Chrxl Natural 4-5 oz,Chromexcel,Natural,3-4,full_hide,,
HOR-CHX-GRN-34,Horween • Chromexcel®,Greener Pastures - 3-4 oz (1.2-1.6 mm),SQ9349980,Chrxl Greener Pastures 4-5 oz,Chromexcel,Greener Pastures,3-4,full_hide,,
HOR-CHX-BLK-34,Horween • Chromexcel®,Black - 3-4 oz (1.2-1.6 mm),SQ2963480,*Black Chrxl 4-5 oz,Chromexcel,Black,3-4,full_hide,,
ARA-ALA,Arazzo Alaska Upholstery Leather,Sage,SQ1656293,Arazzo Alaska 0.9-1.1 mm,Alaska,,,full_hide,,
UNKNOWN,Gift Card Redemption,,,MISCELLANOUS LEATHER,,,,full_hide,Y,
HOR-PNL-DRB-ENG-56,Horween Derby Leather Panels,2’ Panel (12”x24”) - English Tan - 5-6 oz (2-2.4 mm),SQ3681773,Panel Derby English T 5-6 oz,Derby,English Tan,5-6,panel,,
HOR-CHX-GRN-56,Horween • Chromexcel®,Greener Pastures - 5-6 oz (2.0 –  2.4 mm),SQ9837596,Chrxl Greener Pastures 5-6 oz,Chromexcel,Greener Pastures,5-6,full_hide,,
WAL-BUT-NAT-335,Conceria Walpier • Buttero,Resin - Natural - 3-3.5 oz (1.2-1.4 mm),SQ2810781,Buttero Natural (Resin) 3-3.5,Buttero,Natural,3-3.5,full_hide,,
WAL-BUT-BRN-555,Conceria Walpier • Buttero,No Resin - #2 Brown - 5-5.5 oz (2-2.2 mm),SQ1453471,Buttero #2 Brown (Resin) 5-5.5,Buttero,Brown,5-5.5,full_hide,,
HOR-ESX-NAT-45,Horween • Essex,Natural - 4-5 oz (1.6 – 2 mm),SQ1424890,*Natural Essex 4.5-5oz,Essex,Natural,4-5,full_hide,,
HOR-LAT-56,Horween • Latigo,Moc - 5-6 oz (2.0 –  2.4 mm),SQ0691053,*Anil Latigo Dark Rio 5-6 oz,Latigo,,5-6,full_hide,,
HOR-LAT-BLK-56,Horween • Latigo,Black - 5-6 oz (2.0 –  2.4 mm),SQ0463445,Aniline Latigo Black 5-6 oz,Latigo,Black,5-6,full_hide,,
HOR-LAT-RIO-56,Horween • Latigo,Rio - 5-6 oz (2.0 –  2.4 mm),SQ6356622,Aniline Latigo Rio 5-6 oz,Latigo,Rio,5-6,full_hide,,
ACC,Intercom Ecostick 1816B • Water-Based Leather Glue,1 Box - 2 Bags (10 kg),SQ8238262,Ecostick 1816B,,,,accessory,,
WAL-BUT-GRE-555,Conceria Walpier • Buttero,Resin - #11 Green - 5-5.5 oz (2-2.2 mm),SQ7701100,Buttero #11 Green (Resin) 5-5.5,Buttero,Green,5-5.5,full_hide,,
WAL-BUT-335,Conceria Walpier • Buttero,Resin - #9 Red - 3-3.5 oz (1.2-1.4 mm),SQ4158465,Buttero #100 Black (Res) 3-3.5,Buttero,,3-3.5,full_hide,,
WAL-BUT-GRE-335,Conceria Walpier • Buttero,Resin - #11 Green - 3-3.5 oz (1.2-1.4 mm),SQ8845322,Buttero #11 Green (Resin) 3-3.5,Buttero,Green,3-3.5,full_hide,,
ACC,35mm Garnet Cordovan Belt,36 - Increase Pant Size by 2 for Belt Size,SQ2374988,Commission,,,,accessory,,
VIR-VAC-34,Virgilio • Vachetta,Turchese - 3-4 oz (1.2-1.6 mm),SQ2803387,Vachetta Alloro 3-3.5 oz,Vachetta,,3-4,full_hide,,
HOR-CAV-CAR-34,Horween • Cavalier Chromexcel®,Carolina Brown - 3-4 oz (1.2-1.6 mm),SQ3078004,*Carolina Brown Chrxl 4-5 oz,Cavalier Chromexcel,Carolina Brown,3-4,full_hide,,
HOR-LAS-FUN-56,Horween • LaSalle,Fun Blue - 5-6 oz (2.0-2.4 mm),SQ4725156,Lasalle Fun Blue 5-6 oz,LaSalle,Fun Blue,5-6,full_hide,,
HOR-CAV-LON-34,Horween • Cavalier Chromexcel®,London Bus Red - 3-4 oz (1.2-1.6 mm),SQ1985964,Cavalier London Bus Red 3.5-4,Cavalier Chromexcel,London Bus Red,3-4,full_hide,,
VIR-SMP-SMO,Virgilio Swatch Books,Smoked Matte,SQ3984242,Sample Book - Smoked Matte,Smoked Matte,,,sample_book,,
SPL-SMP-CLA,Splenda Swatch Books,Classic,SQ6003382,Sample Book - All Splenda,Classic,,,sample_book,,
HOR-PNL-DRB-LIG-34,Horween Derby Leather Panels,1’ Panel (12”x12”) - Light Natural - 3-4 oz (1.2-1.6 mm),SQ9874382,Panel Derby Lt Nat 3.5-4 oz,Derby,Light Natural,3-4,panel,,
HOR-DUB-LIG-56,Horween • Dublin,Light Natural - 5-6 oz (2.0 –  2.4 mm),SQ0249688,Dublin Light Natural 5-6 oz,Dublin,Light Natural,5-6,full_hide,,
HOR-CHX-BLK-56,Horween • Chromexcel®,Black - 5-6 oz (2.0 –  2.4 mm),SQ7563248,*Black Beaufort Chrxl 5.5-6z,Chromexcel,Black,5-6,full_hide,,
HOR-DRB-ENG-34,Horween • Derby,English Tan - 3-4 oz (1.2-1.6 mm),SQ3281735,Derby English Tan 3.5-4 oz,Derby,English Tan,3-4,full_hide,,
HOR-DUB-BLK-89,Horween • Dublin,Black - 8-9 oz (3.2 –  3.6 mm),SQ4076665,Dublin Black 8-9 oz,Dublin,Black,8-9,full_hide,,
HOR-CHX-BLK-45,Horween • Chromexcel®,Black - 4-5 oz (1.6 – 2 mm),SQ6070657,*Black Chrxl 4-5 oz,Chromexcel,Black,4-5,full_hide,,
WAL-BUT-BLK-335,Conceria Walpier • Buttero,No Resin - Black - 3-3.5 oz (1.2-1.4 mm),SQ2724482,Buttero #100 Black (Res) 3-3.5,Buttero,Black,3-3.5,full_hide,,
HOR-DUB-LIG-34,Horween • Dublin,Light Natural - 3-4 oz (1.2-1.6 mm),SQ0785151,Dublin Light Natural 3-3.5 oz,Dublin,Light Natural,3-4,full_hide,,
HOR-CAV-CAR-56,Horween • Cavalier Chromexcel®,Carolina Brown - 5-6 oz (2-2.4 mm),SQ3695320,Cavalier Carolina Brown 5-6 oz,Cavalier Chromexcel,Carolina Brown,5-6,full_hide,,
HOR-ESX-BLK-34,Horween • Essex,Black - 3-4 oz (1.2-1.6 mm),SQ7964246,Essex Black 3-3.5 oz,Essex,Black,3-4,full_hide,,
HOR-STR-RUS-79,Horween • Russet Horsehide Strips Stained Bundles,Soft Rolled Strips - Regular - 7-9oz,SQ1842162,Russet Strips SR 7-9 oz,Russet Horsehide,,7-9,strips,,
